helics_simulation_time,powerOutput.real
1.0,9.999999999999998e+48
2.0,16.366718980899183
3.0,16.362049161457467
4.0,16.357379342015747
5.0,16.352709522574035
6.0,16.348039703132315
7.0,16.3433698836906
8.0,16.338700064248883
9.0,16.334030244807167
10.0,16.32936042536545
11.0,16.32469060592373
12.0,16.320020786482015
13.0,16.3153509670403
14.0,16.310681147598583
15.0,16.306011328156867
16.0,16.301341508715147
17.0,16.29667168927343
18.0,16.292001869831715
19.0,16.28733205039
20.0,16.28266223094828
21.0,16.277992411506567
22.0,16.27332259206485
23.0,16.26865277262313
24.0,16.263982953181415
25.0,16.259313133739703
26.0,16.254643314297983
27.0,16.249973494856267
28.0,16.245303675414547
29.0,16.24063385597283
30.0,16.235964036531115
31.0,16.2312942170894
32.0,16.226624397647683
33.0,16.221954578205967
34.0,16.217284758764254
35.0,16.21261493932253
36.0,16.207945119880815
37.0,16.2032753004391
38.0,16.198605480997383
39.0,16.193935661555667
40.0,16.189265842113947
41.0,16.18459602267223
42.0,16.179926203230515
43.0,16.1752563837888
44.0,16.170586564347083
45.0,16.165916744905367
46.0,16.16124692546365
47.0,16.15657710602193
48.0,16.151907286580215
49.0,16.1472374671385
50.0,16.142567647696783
51.0,16.137897828255067
52.0,16.133228008813347
53.0,16.128558189371628
54.0,16.123888369929915
55.0,16.119218550488196
56.0,16.114548731046483
57.0,16.109878911604767
58.0,16.10520909216305
59.0,16.10053927272133
60.0,16.095869453279615
61.0,16.0911996338379
62.0,16.086529814396183
63.0,16.081859994954467
64.0,16.077190175512747
65.0,16.07252035607103
66.0,16.067850536629315
67.0,16.0631807171876
68.0,16.058510897745883
69.0,16.053841078304167
70.0,16.04917125886245
71.0,16.04450143942073
72.0,16.039831619979015
73.0,16.035161800537296
74.0,16.030491981095583
75.0,16.025822161653867
76.0,16.021152342212147
77.0,16.01648252277043
78.0,16.01181270332872
79.0,16.007142883887
80.0,16.002473064445283
81.0,15.997803245003567
82.0,15.99313342556185
83.0,15.988463606120135
84.0,15.983793786678417
85.0,15.9791239672367
86.0,15.974454147794983
87.0,15.969784328353265
88.0,15.965114508911547
89.0,15.960444689469833
90.0,15.955774870028115
91.0,15.951105050586397
92.0,15.946435231144683
93.0,15.941765411702965
94.0,15.937095592261247
95.0,15.932425772819533
96.0,15.927755953377815
97.0,15.9230861339361
98.0,15.918416314494381
99.0,15.913746495052667
100.0,15.90907667561095
101.0,15.904406856169235
102.0,15.899737036727517
103.0,15.8950672172858
104.0,15.890397397844085
105.0,15.885727578402363
106.0,15.88105775896065
107.0,15.876387939518935
108.0,15.871718120077213
109.0,15.867048300635497
110.0,15.862378481193783
111.0,15.857708661752065
112.0,15.853038842310347
113.0,15.848369022868633
114.0,15.843699203426915
115.0,15.839029383985201
116.0,15.834359564543483
117.0,15.829689745101765
118.0,15.825019925660051
119.0,15.820350106218333
120.0,15.815680286776615
121.0,15.8110104673349
122.0,15.807412116986693
123.0,15.80381376663849
124.0,15.800215416290284
125.0,15.796617065942081
126.0,15.793018715593872
127.0,15.78942036524567
128.0,15.785822014897462
129.0,15.78222366454926
130.0,15.778625314201054
131.0,15.775026963852849
132.0,15.771428613504643
133.0,15.767830263156439
134.0,15.764231912808233
135.0,15.76063356246003
136.0,15.757035212111822
137.0,15.75343686176362
138.0,15.749838511415412
139.0,15.74624016106721
140.0,15.742641810719004
141.0,15.739043460370802
142.0,15.735445110022592
143.0,15.73184675967439
144.0,15.728248409326183
145.0,15.72465005897798
146.0,15.721051708629775
147.0,15.717453358281569
148.0,15.713855007933365
149.0,15.710256657585159
150.0,15.706658307236957
151.0,15.703059956888751
152.0,15.699461606540542
153.0,15.69586325619234
154.0,15.692264905844135
155.0,15.68866655549593
156.0,15.685068205147724
157.0,15.681469854799518
158.0,15.677871504451314
159.0,15.674273154103108
160.0,15.670674803754906
161.0,15.6670764534067
162.0,15.663478103058495
163.0,15.659879752710287
164.0,15.656281402362085
165.0,15.652683052013879
166.0,15.649084701665677
167.0,15.645486351317468
168.0,15.641888000969264
169.0,15.638289650621058
170.0,15.634691300272856
171.0,15.63109294992465
172.0,15.627494599576444
173.0,15.623896249228238
174.0,15.620297898880034
175.0,15.616699548531829
176.0,15.613101198183626
177.0,15.609502847835417
178.0,15.605904497487215
179.0,15.60230614713901
180.0,15.598707796790805
181.0,15.5951094464426
182.0,15.591511096094393
183.0,15.587912745746188
184.0,15.584314395397984
185.0,15.580716045049781
186.0,15.577117694701576
187.0,15.57351934435337
188.0,15.569920994005164
189.0,15.56632264365696
190.0,15.562724293308754
191.0,15.559125942960549
192.0,15.555527592612346
193.0,15.551929242264137
194.0,15.548330891915935
195.0,15.54473254156773
196.0,15.541134191219525
197.0,15.53753584087132
198.0,15.533937490523114
199.0,15.53033914017491
200.0,15.526740789826704
201.0,15.523142439478502
202.0,15.519544089130292
203.0,15.51594573878209
204.0,15.512347388433884
205.0,15.50874903808568
206.0,15.505150687737475
207.0,15.501552337389269
208.0,15.497953987041063
209.0,15.494355636692859
210.0,15.490757286344657
211.0,15.487158935996451
212.0,15.483560585648242
213.0,15.47996223530004
214.0,15.476363884951834
215.0,15.47276553460363
216.0,15.469167184255424
217.0,15.465568833907222
218.0,15.461970483559012
219.0,15.458372133210807
220.0,15.454773782862606
221.0,15.4511754325144
222.0,15.447577082166195
223.0,15.443978731817989
224.0,15.440380381469783
225.0,15.436782031121579
226.0,15.433183680773377
227.0,15.429585330425171
228.0,15.425986980076962
229.0,15.42238862972876
230.0,15.418790279380554
231.0,15.41519192903235
232.0,15.411593578684144
233.0,15.407995228335942
234.0,15.404396877987732
235.0,15.40079852763953
236.0,15.397200177291326
237.0,15.39360182694312
238.0,15.390003476594915
239.0,15.386405126246709
240.0,15.382806775898503
241.0,15.3792084255503
242.0,15.380081303807339
243.0,15.380954182064382
244.0,15.381827060321424
245.0,15.382699938578464
246.0,15.383572816835505
247.0,15.384445695092545
248.0,15.385318573349586
249.0,15.386191451606626
250.0,15.387064329863666
251.0,15.387937208120707
252.0,15.388810086377747
253.0,15.389682964634789
254.0,15.390555842891828
255.0,15.391428721148872
256.0,15.39230159940591
257.0,15.393174477662953
258.0,15.39404735591999
259.0,15.394920234177034
260.0,15.395793112434076
261.0,15.396665990691115
262.0,15.397538868948155
263.0,15.398411747205197
264.0,15.399284625462236
265.0,15.400157503719278
266.0,15.401030381976318
267.0,15.40190326023336
268.0,15.402776138490403
269.0,15.403649016747442
270.0,15.404521895004484
271.0,15.405394773261524
272.0,15.406267651518565
273.0,15.407140529775608
274.0,15.408013408032646
275.0,15.40888628628969
276.0,15.40975916454673
277.0,15.41063204280377
278.0,15.41150492106081
279.0,15.412377799317852
280.0,15.413250677574892
281.0,15.414123555831932
282.0,15.414996434088973
283.0,15.415869312346013
284.0,15.416742190603056
285.0,15.417615068860094
286.0,15.418487947117137
287.0,15.419360825374175
288.0,15.420233703631219
289.0,15.42110658188826
290.0,15.4219794601453
291.0,15.422852338402341
292.0,15.423725216659381
293.0,15.424598094916421
294.0,15.425470973173462
295.0,15.426343851430506
296.0,15.427216729687547
297.0,15.428089607944587
298.0,15.428962486201627
299.0,15.429835364458668
300.0,15.430708242715708
301.0,15.43158112097275
302.0,15.432453999229793
303.0,15.43332687748683
304.0,15.434199755743874
305.0,15.43507263400091
306.0,15.435945512257955
307.0,15.436818390514995
308.0,15.437691268772037
309.0,15.438564147029076
310.0,15.439437025286116
311.0,15.440309903543158
312.0,15.441182781800197
313.0,15.442055660057239
314.0,15.442928538314279
315.0,15.443801416571322
316.0,15.44467429482836
317.0,15.445547173085403
318.0,15.446420051342441
319.0,15.447292929599485
320.0,15.448165807856526
321.0,15.449038686113566
322.0,15.449911564370609
323.0,15.45078444262765
324.0,15.45165732088469
325.0,15.452530199141732
326.0,15.453403077398772
327.0,15.454275955655811
328.0,15.455148833912853
329.0,15.456021712169893
330.0,15.456894590426934
331.0,15.457767468683974
332.0,15.458640346941015
333.0,15.459513225198055
334.0,15.460386103455097
335.0,15.461258981712136
336.0,15.46213185996918
337.0,15.463004738226221
338.0,15.463877616483261
339.0,15.464750494740302
340.0,15.465623372997342
341.0,15.466496251254382
342.0,15.467369129511424
343.0,15.468242007768463
344.0,15.469114886025505
345.0,15.469987764282548
346.0,15.470860642539588
347.0,15.47173352079663
348.0,15.472606399053669
349.0,15.47347927731071
350.0,15.47435215556775
351.0,15.475225033824792
352.0,15.476097912081832
353.0,15.476970790338871
354.0,15.477843668595916
355.0,15.478716546852953
356.0,15.479589425109998
357.0,15.480462303367037
358.0,15.481335181624077
359.0,15.482208059881119
360.0,15.483080938138158
361.0,15.4839538163952
362.0,16.24183613965308
363.0,16.999718462910963
364.0,17.757600786168844
365.0,18.515483109426725
366.0,19.27336543268461
367.0,20.031247755942488
368.0,20.789130079200373
369.0,21.547012402458254
370.0,22.304894725716135
371.0,23.06277704897402
372.0,23.820659372231898
373.0,24.578541695489776
374.0,25.336424018747664
375.0,26.094306342005545
376.0,26.852188665263427
377.0,27.61007098852131
378.0,28.367953311779186
379.0,29.125835635037067
380.0,29.88371795829495
381.0,30.641600281552833
382.0,31.399482604810718
383.0,32.157364928068596
384.0,32.91524725132648
385.0,33.67312957458436
