helics_simulation_time,heatPump.ElectricalConsumption_HeatPump,heatPump.T_Return,heatPump.QflowHPvol,heatPump.StandbyHeatLoss,heatPump.COP,apartment.DayZon.TRooAir,apartment.DayZon.occupation,thermostatDayZ.TSetHea.y[1],apartment.DayZon.RadiantSlab.surf_a.Q_flow,apartment.DayZon.RHroom,apartment.NigZone.TRooAir,apartment.NigZone.occupation,thermostatNigZ.TSetHea.y[1],apartment.NigZone.RadiantSlab.surf_a.Q_flow,apartment.NigZone.RHroom,apartment.Bathroom.TRooAir,apartment.Bathroom.occupation,thermostatBathroom.TSetHea.y[1],apartment.Bathroom.RadiantSlab.surf_a.Q_flow,apartment.Bathroom.RHroom
8640005.0,0.0,-1,0.0,33.60073996985026,0.0,293.093451764665,0.0,291.15,-14.920649568988058,69.40164990874969,293.09947325377846,1.0,293.15,0.5472037173898148,69.37990830771452,293.097866421992,0.0,283.15,-0.14189005876399496,69.3829610279159
8640010.0,0.0,-1,0.0,33.601478400777296,0.0,293.0598135195966,0.0,291.15,-15.551318730342656,69.52009853982825,293.07179832552913,1.0,293.15,0.1411448632973098,69.47677846780648,293.06791386796186,0.0,283.15,-0.25989575939307247,69.48589508099913
8640015.0,0.0,-1,0.0,33.602215297067914,0.0,293.0433000409459,0.0,291.15,-15.897430860374916,69.577824882315,293.06119248268936,1.0,293.15,-0.029227735301134317,69.51314454919263,293.0554108635947,0.0,283.15,-0.31398833316081054,69.5266705082402
8640020.0,0.0,-1,0.0,33.60295066300871,0.0,293.0344687300344,0.0,291.15,-16.094205137772047,69.60845448420713,293.058203758908,1.0,293.15,-0.07897114632696223,69.52268924108887,293.05092129830206,0.0,283.15,-0.33404960144576745,69.53892016840524
8640025.0,0.0,-1,0.0,33.60368450288638,0.0,293.0285941716067,0.0,291.15,-16.230894896049506,69.62866030147524,293.0581153607667,1.0,293.15,-0.08107899648777206,69.52204747109153,293.04933293809984,0.0,283.15,-0.3412596577912323,69.54098671493651
8640030.0,0.0,-1,0.0,33.60441682098765,0.0,293.0237880969024,0.0,291.15,-16.34599010306339,69.64508070359231,293.0590452147281,1.0,293.15,-0.06639648583897362,69.5178277841107,293.0487695467535,0.0,283.15,-0.3438722559345724,69.539454573132
8640035.0,0.0,-1,0.0,33.605147621599215,0.0,293.0193599878318,0.0,291.15,-16.453999696633698,69.66014604204707,293.060305591702,1.0,293.15,-0.04635772476743227,69.51244646523534,293.04854942267326,0.0,283.15,-0.3449449079326552,69.53671450905036
8640040.0,0.0,-1,0.0,33.60587690900775,0.0,293.015075974545,0.0,291.15,-16.559893809149127,69.67468458187149,293.0616637227221,1.0,293.15,-0.024837353327567868,69.50672609826502,293.0484418374213,0.0,283.15,-0.34551920508604733,69.53358050105781
8640045.0,0.0,-1,0.0,33.60660468749999,0.0,293.0108586073423,0.0,291.15,-16.665308585729665,69.6889705749769,293.06304268694373,1.0,293.15,-0.0031122471054061407,69.50093831257445,293.0483704228265,0.0,283.15,-0.345941024284631,69.53032186624259
8640050.0,0.0,-1,0.0,33.60733096136262,0.0,293.00668360122734,0.0,291.15,-16.770731465756132,69.70309001435061,293.06441852767125,1.0,293.15,0.018420503226757035,69.49516761862597,293.04831126407845,0.0,283.15,-0.3463192766548083,69.5270229541912
8640055.0,0.0,-1,0.0,33.60805573488225,0.0,293.00254389181856,0.0,291.15,-16.87627514532481,69.71706788610528,293.0657844454823,1.0,293.15,0.039647024947340626,69.48943790652937,293.0482574373457,0.0,283.15,-0.3466861342210989,69.52370819134106
8640060.0,0.0,-1,0.0,33.60877901234569,0.0,292.9984363615456,0.0,291.15,-16.98196953375415,69.73091520053966,293.06713757680706,1.0,293.15,0.060518333750515296,69.48375916127242,293.04820591743476,0.0,283.15,-0.34705624922823586,69.52038825485435
8640065.0,0.0,-1,0.0,33.60950079803956,0.0,292.9943597568806,0.0,291.15,-17.08780630725505,69.74463636843466,293.06847691968613,1.0,293.15,0.08101577343734334,69.47813479296813,293.04815552500776,0.0,283.15,-0.34743601961173,69.51706731215724
8640070.0,0.0,-1,0.0,33.6102210962506,0.0,292.99031387688495,0.0,291.15,-17.193755991090388,69.75823207426936,293.06980252510994,1.0,293.15,0.1011374902770843,69.47256449526785,293.0481061257684,0.0,283.15,-0.3478271964614326,69.51374584614983
8640075.0,0.0,-1,0.0,33.610939911265405,0.0,292.98629875376355,0.0,291.15,-17.29978636987362,69.77170218091094,293.0711146804657,1.0,293.15,0.12088519184557178,69.467047129039,293.0480578216285,0.0,283.15,-0.3482305337228561,69.51042350690797
8640080.0,0.0,-1,0.0,33.61165724737081,0.0,292.98231467961324,0.0,291.15,-17.405861499439037,69.78504563376625,293.0724139360462,1.0,293.15,0.14026447239119832,69.46158062932787,293.04801097705524,0.0,283.15,-0.3486456639244099,69.50709901914749
8640085.0,0.0,-1,0.0,33.61237310885341,0.0,292.9783612551316,0.0,291.15,-17.511964042821266,69.79826383966291,293.07370015753344,1.0,293.15,0.15927010620930204,69.45616535051757,293.0479652810255,0.0,283.15,-0.3490753059557626,69.50377348890527
8640090.0,0.0,-1,0.0,33.61308749999996,0.0,292.97443840884785,0.0,291.15,-17.61807096991136,69.8113570456836,293.0749735401095,1.0,293.15,0.1779019662436312,69.4508004847809,293.0479207508508,0.0,283.15,-0.34952073094446473,69.50044686395455
8640095.0,0.0,-1,0.0,33.613800425097146,0.0,292.9705458160135,0.0,291.15,-17.72416728878127,69.82432640406866,293.0762340299606,1.0,293.15,0.19615606173760547,69.44548610473483,293.04787715949124,0.0,283.15,-0.34998433486787683,69.49711995288146
8640100.0,0.0,-1,0.0,33.61451188843163,0.0,292.96668339018544,0.0,291.15,-17.830233735275517,69.83717222568697,293.07748181342106,1.0,293.15,0.21403215570872014,69.44022143739109,293.0478345198783,0.0,283.15,-0.3504674296993375,69.49379271851693
8640105.0,0.0,-1,0.0,33.61522189429009,0.0,292.9628510193413,0.0,291.15,-17.936253230723445,69.8498949173427,293.07871705385355,1.0,293.15,0.2315296506054505,69.43500579308797,293.04779282453677,0.0,283.15,-0.3509714283336844,69.49046519573223
8640110.0,0.0,-1,0.0,33.61593044695928,0.0,292.95904866429277,0.0,291.15,-18.042208204826906,69.86249463161028,293.0799399895299,1.0,293.15,0.24864910818025798,69.42983821995053,293.04775214239237,0.0,283.15,-0.3514973944103066,69.48713715024174
8640115.0,0.0,-1,0.0,33.616637550725876,0.0,292.9552762151738,0.0,291.15,-18.148083984963133,69.87497177634829,293.0811507905115,1.0,293.15,0.2653900975476393,69.42471800835199,293.0477124768285,0.0,283.15,-0.35204667503819614,69.48380857842336
