helics_simulation_time,heatPump.ElectricalConsumption_HeatPump,heatPump.T_Return,heatPump.QflowHPvol,heatPump.StandbyHeatLoss,heatPump.COP,apartment.DayZon.TRooAir,apartment.DayZon.occupation,thermostatDayZ.TSetHea.y[1],apartment.DayZon.RadiantSlab.surf_a.Q_flow,apartment.DayZon.RHroom,apartment.NigZone.TRooAir,apartment.NigZone.occupation,thermostatNigZ.TSetHea.y[1],apartment.NigZone.RadiantSlab.surf_a.Q_flow,apartment.NigZone.RHroom,apartment.Bathroom.TRooAir,apartment.Bathroom.occupation,thermostatBathroom.TSetHea.y[1],apartment.Bathroom.RadiantSlab.surf_a.Q_flow,apartment.Bathroom.RHroom
8640060.0,0.0,-1,0.0,33.60877901234569,0.0,292.99841980233174,0.0,291.15,-16.982359768737957,69.73098696452574,293.06712073965855,1.0,293.15,0.06024899878167922,69.48383174065927,293.04819826883687,0.0,283.15,-0.3470909682731083,69.52038351803456
8640120.0,0.0,-1,0.0,33.61734320987655,0.0,292.9515171767219,0.0,291.15,-18.254294020557047,69.88739786223806,293.082330212312,1.0,293.15,0.28145934204524714,69.41972787248986,293.04766673433153,0.0,283.15,-0.35265301667153415,69.48047288254399
8640180.0,0.0,-1,0.0,33.62569999999997,0.0,292.9088755729593,0.0,291.15,-19.51301335684969,70.02633260414257,293.0958335883058,1.0,293.15,0.4480994850749749,69.36226742234986,293.04727555245705,0.0,283.15,-0.36194891180955724,69.44050972704183
8640240.0,0.0,-1,0.0,33.633856790123446,0.0,292.87023420484405,0.0,291.15,-20.744737206607173,70.14879713768842,293.10786474151314,1.0,293.15,0.5601056513427594,69.3104619129135,293.0470039119773,0.0,283.15,-0.3769681728211387,69.40057887064539
8640300.0,0.0,-1,0.0,33.6418209876543,0.0,292.8353009702587,0.0,291.15,-21.943674916331258,70.2559570023775,293.11862890554676,1.0,293.15,0.6194426171066585,69.26344971016597,293.04683526786033,0.0,283.15,-0.3989051104857744,69.36074671694095
8640360.0,0.0,-1,0.0,33.649599999999964,0.0,292.80377478787983,0.0,291.15,-23.106822699268598,70.34903796569606,293.1283036387917,1.0,293.15,0.6297092764277679,69.22049051494224,293.046756448923,0.0,283.15,-0.42822944987990147,69.32106500276075
8640420.0,0.0,-1,0.0,33.657201234567914,0.0,292.77535928324056,0.0,291.15,-24.2323847888893,70.42926359797977,293.1370436561107,1.0,293.15,0.5954771778763579,69.18094365036835,293.0467569009028,0.0,283.15,-0.46488198023903304,69.28157412558484
8640480.0,0.0,-1,0.0,33.66463209876542,0.0,292.749770096178,0.0,291.15,-25.319277895458498,70.49782029239205,293.1449863685543,1.0,293.15,0.521703250661453,69.1442437364849,293.0468280511639,0.0,283.15,-0.5084529522348178,69.24230579839696
8640540.0,0.0,-1,0.0,33.67189999999997,0.0,292.72673967777723,0.0,291.15,-26.366925841800423,70.55583362165927,293.1522620794957,1.0,293.15,0.4131831391730163,69.10985644606505,293.04696287076473,0.0,283.15,-0.5583202098936054,69.20328505254673
8640600.0,0.0,-1,0.0,33.679012345678984,0.0,292.7060190689286,0.0,291.15,-27.375163273704906,70.60435793176732,293.1589698116577,1.0,293.15,0.27415840241575573,69.0773816925434,293.04715554622857,0.0,283.15,-0.6137457944836462,69.16453154913044
8640660.0,0.0,-1,0.0,33.68597654320986,0.0,292.6873785523938,0.0,291.15,-28.344169483029944,70.64437146739647,293.1651173486986,1.0,293.15,0.10559310936962163,69.04680932172101,293.04740068553554,0.0,283.15,-0.6739465058095564,69.12606309346366
8640720.0,0.0,-1,0.0,33.692800000000034,0.0,292.6706071670194,0.0,291.15,-29.274419037660852,70.67677658514302,293.1707329839669,1.0,293.15,-0.07769501385316069,69.01804077457344,293.0476930266831,0.0,283.15,-0.7381387601877853,69.08789677656453
8640780.0,0.0,-1,0.0,33.69949012345675,0.0,292.65551262668595,0.0,291.15,-30.166612305566137,70.7023987492518,293.1758464325188,1.0,293.15,-0.27074475776529283,68.99097072174007,293.0480275382212,0.0,283.15,-0.8055671396610179,69.05004864364369
8640840.0,0.0,-1,0.0,33.706054320987654,0.0,292.6419202250012,0.0,291.15,-31.021632603528055,70.72199001321663,293.1804923024657,1.0,293.15,-0.4725620760328919,68.96547233854568,293.04839943213415,0.0,283.15,-0.8755215244510965,69.01253353360023
8640900.0,0.0,-1,0.0,33.71250000000001,0.0,292.62967203910307,0.0,291.15,-31.840494250704367,70.73623166525826,293.1847066223552,1.0,293.15,-0.6815450139764181,68.94141207459018,293.04880419709406,0.0,283.15,-0.9473470660680431,68.97536503492428
8640960.0,0.0,-1,0.0,33.71883456790124,0.0,292.6186255462494,0.0,291.15,-32.624313148526205,70.74573941824772,293.1885249352631,1.0,293.15,-0.8959900704412789,68.91865786219742,293.04923759988884,0.0,283.15,-1.0204487502017723,68.93855537764746
8641020.0,0.0,-1,0.0,33.725065432098745,0.0,292.6086526137965,0.0,291.15,-33.37426823191519,70.75106737174362,293.1919812394942,1.0,293.15,-1.114241014759651,68.8970835387401,293.0496956867173,0.0,283.15,-1.0942925095930434,68.90211553598445
8641080.0,0.0,-1,0.0,33.731200000000015,0.0,292.5996380478241,0.0,291.15,-34.091586294029085,70.75271374886943,293.19510756951723,1.0,293.15,-1.3347503017394864,68.8765707167452,293.0501747711688,0.0,283.15,-1.1684042895055773,68.86605513285404
8641140.0,0.0,-1,0.0,33.737245679012325,0.0,292.59147867137517,0.0,291.15,-34.77751030149415,70.75112478174991,293.19793366395777,1.0,293.15,-1.556104626001158,68.85701006815094,293.05067142896326,0.0,283.15,-1.242367070060286,68.83038262827567
