helics_simulation_time,Occupation[1],Occupation[2],Occupation[3],CooSea,TSetPoint[1],TSetPoint[2],TSetPoint[3],TSetPointZonSelCol[1],TSetPointZonSelCol[2],TSetPointZonSelCol[3],TSetDHWSelCon,TSetDHW
60.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
120.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
180.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
240.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
300.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
360.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
420.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
480.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
540.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
600.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
660.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
720.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
780.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
840.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
900.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
960.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
1020.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
1080.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
1140.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
1200.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
1260.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
1320.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
1380.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
1440.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
1500.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
1560.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
1620.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
1680.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
1740.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
1800.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
1860.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
1920.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
1980.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
2040.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
2100.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
2160.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
2220.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
2280.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
2340.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
2400.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
2460.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
2520.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
2580.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
2640.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
2700.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
2760.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
2820.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
2880.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
2940.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
3000.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
3060.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
3120.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
3180.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
3240.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
3300.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
3360.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
3420.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
3480.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
3540.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
3600.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
3660.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
3720.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
3780.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
3840.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
3900.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
3960.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
4020.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
4080.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
4140.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
4200.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
4260.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
4320.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
4380.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
4440.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
4500.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
4560.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
4620.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
4680.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
4740.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
4800.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
4860.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
4920.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
4980.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
5040.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
5100.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
5160.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
5220.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
5280.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
5340.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
5400.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
5460.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
5520.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
5580.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
5640.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
5700.0,0.0,1.0,0.0,False,291.15,293.15,283.15,294.15,294.15,294.15,328.15,325.15
