helics_simulation_time,heatPump.ElectricalConsumption_HeatPump,heatPump.T_Return,heatPump.QflowHPvol,heatPump.StandbyHeatLoss,heatPump.COP,apartment.DayZon.TRooAir,apartment.DayZon.occupation,thermostatDayZ.TSetHea.y[1],apartment.DayZon.RadiantSlab.surf_a.Q_flow,apartment.DayZon.RHroom,apartment.NigZone.TRooAir,apartment.NigZone.occupation,thermostatNigZ.TSetHea.y[1],apartment.NigZone.RadiantSlab.surf_a.Q_flow,apartment.NigZone.RHroom,apartment.Bathroom.TRooAir,apartment.Bathroom.occupation,thermostatBathroom.TSetHea.y[1],apartment.Bathroom.RadiantSlab.surf_a.Q_flow,apartment.Bathroom.RHroom
8640300.0,0.0,-1,0.0,33.6418209876543,0.0,292.83525111495385,0.0,291.15,-21.945268814896842,70.25617529632284,293.11861538706046,1.0,293.15,0.6192334181594994,69.26350692905363,293.046834941235,0.0,283.15,-0.39891903103119336,69.36074890449018
8640600.0,0.0,-1,0.0,33.679012345678984,0.0,292.70599089987934,0.0,291.15,-27.37615917223966,70.60448263268938,293.15895728599384,1.0,293.15,0.27408523289873443,69.07743435787593,293.04715352305834,0.0,283.15,-0.613756887043019,69.16454122962351
8640900.0,0.0,-1,0.0,33.71250000000001,0.0,292.62965696195766,0.0,291.15,-31.841033851810018,70.73629996610286,293.18469591223334,1.0,293.15,-0.6815895015866147,68.94145641280896,293.0488026890915,0.0,283.15,-0.9473506371153951,68.9753732114402
8641200.0,0.0,-1,0.0,33.74320987654323,0.0,292.5840727571668,0.0,291.15,-35.43360210286554,70.74674254146133,293.200478854042,1.0,293.15,-1.777058345723912,68.83833485193523,293.05118128762837,0.0,283.15,-1.3158156496247182,68.79511187452371
8641500.0,0.0,-1,0.0,33.77206790123455,0.0,292.5559273000167,0.0,291.15,-38.302991059300254,70.69329231686532,293.2099585019101,1.0,293.15,-2.840175948910492,68.75467763447546,293.05385759667973,0.0,283.15,-1.6659194320228874,68.62482621423284
8641800.0,0.0,-1,0.0,33.800000000000026,0.0,292.5375669415914,0.0,291.15,-40.59371750618436,70.60873241374297,293.21554532382146,1.0,293.15,-3.7920097645374984,68.68195294880985,293.05654070373345,0.0,283.15,-1.9725686706264876,68.46489987548992
8642100.0,0.0,-1,0.0,33.82793209876543,0.0,292.5246520037331,0.0,291.15,-42.427864733560114,70.51116148178616,293.2188317745337,1.0,293.15,-4.628482611040679,68.61468065812821,293.0590502107032,0.0,283.15,-2.227788626510715,68.31515548158441
8642400.0,0.0,-1,0.0,33.85679012345675,0.0,292.5147269404585,0.0,291.15,-43.90378552363015,70.410236011647,293.2207372347615,1.0,293.15,-5.3268248563424585,68.54983405260532,293.06128719618107,0.0,283.15,-2.432570302498431,68.1749725526047
8642700.0,0.0,-1,0.0,33.88749999999997,0.0,292.506394114776,0.0,291.15,-45.09970832965443,70.3108103653519,293.2217366934679,1.0,293.15,-5.892056974413311,68.48589288104372,293.06320494956327,0.0,283.15,-2.5920136738100767,68.04340648147414
8643000.0,0.0,-1,0.0,33.920987654320996,0.0,292.49884949770154,0.0,291.15,-46.07781427188626,70.21498923271332,293.22206648601866,1.0,293.15,-6.339808747631132,68.42199728434673,293.06478899793257,0.0,283.15,-2.7126569784966845,67.91926860607363
